KRIPTOLAR,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Volume2,vol_fark,satis_fark
ICPBUSD-11,1635724800000,4498000000,5830000000,3811000000,4081000000,1006793036000000,1638316799999,47145309480080000,960112,493214981000000,23109010379700000,0,865145404000000,141647632000000,-417000000
ICPUSDT-11,1635724800000,4495000000,5830000000,3810000000,4084000000,7196515823000000,1638316799999,333215124888140000,8659310,3534876838000000,163797401396510000,0,6752284638000000,444231185000000,-411000000
DOGERUB-11,1635724800000,1989000000,2117000000,1429000000,1591000000,5081984100000000,1638316799999,91053378384000000,66514,2494615100000000,44817394962000000,0,12737907960000000,-7655923860000000,-398000000
XVSUSDT-11,1635724800000,2607000000,2922000000,2011000000,2210000000,1321316348000000,1638316799999,32651923813160000,1097012,644737601000000,15956008767220000,0,1442107110000000,-120790762000000,-397000000
XVSBUSD-11,1635724800000,2609000000,2922000000,2030000000,2214000000,221573543000000,1638316799999,5509323427790000,375097,103980110000000,2586877155910000,0,286261965000000,-64688422000000,-395000000
DOTAUD-11,1635724800000,5718000000,7454000000,4575000000,5328000000,91206165000000,1638316799999,5558876451420000,97483,43605114000000,2662689595740000,0,63108098000000,28098067000000,-390000000
PERPBUSD-11,1635724800000,1644000000,2329000000,1133000000,1261000000,247334510000000,1638316799999,3982265338650000,190836,120319959000000,1943244074850000,0,565547485000000,-318212975000000,-383000000
PERPUSDT-11,1635724800000,1640000000,2313000000,1132000000,1260000000,1392231317000000,1638316799999,21781656801780000,691852,691530700000000,10808584882320000,0,2705857040000000,-1313625723000000,-380000000
UNIBUSD-11,1635724800000,2503000000,2850000000,1850000000,2124000000,558244447000000,1638316799999,13324882848690000,434943,265869311000000,6384255562010000,0,754956324000000,-196711877000000,-379000000
UNIUSDT-11,1635724800000,2499000000,2848000000,1847000000,2125000000,5836425429000000,1638316799999,138794335724030000,4719091,2890456716000000,68801230405130000,0,7309044696000000,-1472619267000000,-374000000
LINKEUR-11,1635724800000,2606000000,3322000000,2011000000,2235000000,417347225700000,1638316799999,11135242609573500,231866,207805909400000,5555691557872500,0,445071181000000,-27723955300000,-371000000
C98BRL-11,1635724800000,2087000000,2575000000,1572000000,1719000000,496241790000000,1638316799999,9976695346100000,27796,238496900000000,4838703979000000,0,100029070000000,396212720000000,-368000000
CAKEUSDT-11,1635724800000,1766000000,2052000000,1200000000,1401000000,10051956119500000,1638316799999,169506339416663000,4056858,4810049092000000,81378822594227000,0,9664352346000000,387603773500000,-365000000
CAKEBUSD-11,1635724800000,1766000000,2052000000,1203000000,1402000000,4187189469200000,1638316799999,70338704500290900,1196458,2092926071600000,35277615225467000,0,3690875875000000,496313594200000,-364000000
DOTEUR-11,1635724800000,3716000000,4762000000,2859000000,3352000000,550502402600000,1638316799999,21505813971566500,457792,275042007900000,10755328818283500,0,609659555900000,-59157153300000,-364000000
BARBUSD-11,1635724800000,1470000000,1727000000,1074000000,1110000000,74759378300000,1638316799999,1054179290246500,103493,36945615000000,521413276130000,0,108095005000000,-33335626700000,-360000000
BALUSDT-11,1635724800000,2467000000,2915000000,1848000000,2108000000,901043973000000,1638316799999,21274191482240000,776004,445757472000000,10535775678690000,0,876207381000000,24836592000000,-359000000
BALBUSD-11,1635724800000,2471000000,2912000000,1846000000,2112000000,102101237000000,1638316799999,2405622472200000,254785,50240691000000,1181590711430000,0,97946487000000,4154750000000,-359000000
RUNEBUSD-11,1635724800000,1484600000,1728100000,922800000,1127700000,2117523626400000,1638316799999,26920517437948700,826062,1037834231400000,13158724533603700,0,3016474791200000,-898951164800000,-356900000
BARUSDT-11,1635724800000,1468000000,1726000000,1072000000,1112000000,385132574900000,1638316799999,5349402247940000,223834,187362614500000,2603624170200000,0,624980115300000,-239847540400000,-356000000
RUNEUSDT-11,1635724800000,1483900000,1727000000,923500000,1129700000,11779528592700000,1638316799999,147807723093903000,3905403,5834061519300000,73293648449261600,0,14654713103200000,-2875184510500000,-354200000
ICPEUR-11,1635724800000,3929000000,5050000000,3360000000,3600000000,54654759000000,1638316799999,2216654093210000,57698,26536835000000,1080427516860000,0,53548801900000,1105957100000,-329000000
ATMUSDT-11,1635724800000,1212000000,1390000000,867000000,888000000,512400513600000,1638316799999,5791154500614700,220061,249934884400000,2825790132124000,0,607983035000000,-95582521400000,-324000000
ATMBUSD-11,1635724800000,1209000000,1399000000,867000000,886000000,105692630000000,1638316799999,1165218034680000,76761,58036275000000,637796072140000,0,99172350000000,6520280000000,-323000000
ETCGBP-11,1635724800000,3935000000,4715000000,3393000000,3613000000,4201221000000,1638316799999,168776995650000,7539,2303459000000,92957366720000,0,4470123000000,-268902000000,-322000000
NMRUSDT-11,1635724800000,4309000000,4919000000,3701000000,3988000000,53052999000000,1638316799999,2254050619770000,115083,26455427000000,1126220136390000,0,123969358000000,-70916359000000,-321000000
PSGUSDT-11,1635724800000,2039000000,2860000000,1683000000,1720000000,694232005600000,1638316799999,14956106112362700,481166,338610800100000,7307985204358000,0,527519914100000,166712091500000,-319000000
REPUSDT-11,1635724800000,2504000000,2692000000,2046000000,2187000000,175770910000000,1638316799999,4213414755540000,351598,88373239000000,2117762017920000,0,222152506000000,-46381596000000,-317000000
NMRBUSD-11,1635724800000,4296000000,4745000000,3729000000,3984000000,12796411000000,1638316799999,544178240550000,51588,6465255000000,275927476900000,0,33413723000000,-20617312000000,-312000000
PSGBUSD-11,1635724800000,2034000000,2862000000,1685000000,1725000000,139461010100000,1638316799999,3075425092797000,174379,67095462000000,1483826704970000,0,81657692200000,57803317900000,-309000000
UNIEUR-11,1635724800000,2172000000,2474000000,1640000000,1873000000,81575218000000,1638316799999,1685623687110000,46445,41335935000000,853105008370000,0,78928778000000,2646440000000,-299000000
LINKGBP-11,1635724800000,2176000000,2788000000,1723000000,1877000000,78809646700000,1638316799999,1792436937746400,32818,38943138700000,886608207186400,0,104025687000000,-25216040300000,-299000000
RUNEEUR-11,1635724800000,1288400000,1491500000,816700000,990600000,221507420000000,1638316799999,2516752315800000,54878,110106220000000,1258909127320000,0,302503840000000,-80996420000000,-297800000
SUSHIBUSD-11,1635724800000,1090800000,1345600000,665200000,801500000,1364682016300000,1638316799999,13411861904897200,355787,654866685500000,6466387512365000,0,1125012490000000,239669526300000,-289300000
SUSHIUSDT-11,1635724800000,1088500000,1348000000,664400000,800100000,15852997465500000,1638316799999,154304697152102000,4974754,8002595889800000,77931850206422600,0,13154810140000000,2698187325500000,-288400000
PROMBUSD-11,1635724800000,1849000000,2423000000,1508000000,1566000000,425008586000000,1638316799999,7744750355750000,368020,204621524000000,3738555266700000,0,775049126000000,-350040540000000,-283000000
DOTGBP-11,1635724800000,3108000000,4005000000,2441000000,2826000000,88537926400000,1638316799999,2932301100790200,63127,43000156300000,1429041328137200,0,94347493300000,-5809566900000,-282000000
DYDXBUSD-11,1635724800000,1519800000,1857400000,1133900000,1255900000,2788833249000000,1638316799999,41047183918067000,2649556,1355908025000000,19976064461169000,0,3457647382000000,-668814133000000,-263900000
DYDXUSDT-11,1635724800000,1517900000,1856000000,1132000000,1255400000,18274963682000000,1638316799999,268573440194982000,6304480,8988379835000000,132223599967760000,0,23253776004000000,-4978812322000000,-262500000
SNXBUSD-11,1635724800000,1016400000,1200000000,710000000,764200000,462788927500000,1638316799999,4374482726401300,281913,225869620000000,2136512056430000,0,400627210300000,62161717200000,-252200000
JUVBUSD-11,1635724800000,1255000000,1445000000,958000000,1004000000,104922122000000,1638316799999,1235358385160000,102597,54830181000000,643989932410000,0,338696302300000,-233774180300000,-251000000
JUVUSDT-11,1635724800000,1253000000,1442000000,956000000,1002000000,394549238000000,1638316799999,4775708573373300,196499,194671184000000,2360511206680000,0,1258237605100000,-863688367100000,-251000000
SNXUSDT-11,1635724800000,1013900000,1180000000,708400000,765200000,5367385073100000,1638316799999,50296261693813300,1970133,2680231860500000,25114179332139800,0,5191620229400000,175764843700000,-248700000
CAKEGBP-11,1635724800000,1291000000,1498000000,909000000,1043000000,29987152400000,1638316799999,373448013128900,14457,13616119200000,170754944756000,0,24463274000000,5523878400000,-248000000
RUNEGBP-11,1635724800000,1080700000,1256500000,690000000,836600000,67774840000000,1638316799999,654499521720000,13760,35733240000000,347305227450000,0,74138660000000,-6363820000000,-244100000
ADABRL-11,1635724800000,1122000000,1315400000,809600000,881400000,4110942380000000,1638316799999,44667981947069000,350436,2007326687000000,21920411958392000,0,5175807610000000,-1064865230000000,-240600000
RUNEAUD-11,1635724800000,1977900000,2326200000,1600000000,1740400000,54575926818400,1636707599999,1062587816311260,14481,26776650817400,526815877124953,0,57323245424000,-2747318605600,-237500000
FORTHBUSD-11,1635724800000,1641000000,1872000000,1271000000,1412000000,118913098000000,1638316799999,1889850917400000,133632,58359320000000,930189194940000,0,491490753600000,-372577655600000,-229000000
FORTHUSDT-11,1635724800000,1641000000,1887000000,1270000000,1414000000,739050128000000,1638316799999,11636500255640000,496715,361790965000000,5712743396730000,0,1599617010300000,-860566882300000,-227000000
ACMUSDT-11,1635724800000,853800000,886000000,607800000,629400000,575203100200000,1638316799999,4344974622250300,173455,284843699300000,2147705415321000,0,885255370000000,-310052269800000,-224400000
ACMBUSD-11,1635724800000,852500000,885400000,605600000,632000000,122138525600000,1638316799999,925681663146800,60257,61707550800000,467114339956800,0,136430520000000,-14291994400000,-220500000
BANDUSDT-11,1635724800000,983300000,1055200000,659300000,770800000,4063822496400000,1638316799999,34563278601494000,1353313,2022603590000000,17197186567440000,0,2790778390000000,1273044106400000,-212500000
BANDBUSD-11,1635724800000,984000000,1055200000,670000000,771700000,563607770000000,1638316799999,4833157296770000,231844,274720210000000,2357812461260000,0,479955380000000,83652390000000,-212300000
WBTCETH-11,1635724800000,1431000000,1446000000,1228000000,1231000000,84566064000,1638316799999,1160806220310,64181,50757506000,697404750310,0,177633744000,-93067680000,-200000000
FLOWUSDT-11,1635724800000,1401000000,1700000000,1100000000,1239000000,7362325747000000,1638316799999,98712009304570000,1222701,3659217658000000,49066971844000000,0,6071889945000000,1290435802000000,-162000000
FLOWBUSD-11,1635724800000,1403000000,1707000000,1139000000,1241000000,850153712000000,1638316799999,11536992738190000,279578,430209965000000,5850871816250000,0,884442068000000,-34288356000000,-162000000
SRMBUSD-11,1635724800000,726000000,892100000,479000000,564400000,1695283626000000,1638316799999,11830957404057000,477992,826539540000000,5759841429110000,0,2586107810000000,-890824184000000,-161600000
YFIIBNB-11,1635724800000,716000000,750000000,554000000,555000000,192777320000,1638316799999,1261116429200,8491,104708280000,690359840600,0,25531960000,167245360000,-161000000
SRMUSDT-11,1635724800000,724800000,892000000,477500000,564500000,12434156241000000,1638316799999,85028232036833700,2061620,6108725873000000,41804231841954900,0,15722876620000000,-3288720379000000,-160300000
ASRUSDT-11,1635724800000,640500000,699000000,464500000,480600000,395578795600000,1638316799999,2319235721619100,129121,193423516000000,1135858922409000,0,598933321700000,-203354526100000,-159900000
